Name,Section,Due Date,Priority,Description
Stripe integration - Individual + Multi-Site checkout,Must Do Now (Weeks 1-2),2026-04-25,High,"Zero revenue until this ships. Checkout flow for Individual and Multi-Site tiers."
Stripe integration - Authority invoicing/subscriptions,Must Do Now (Weeks 1-2),2026-04-25,High,"Council deals need payment mechanism. Invoice or subscription model for Authority tiers."
Terms of Service update - self-assessment disclaimer,Must Do Now (Weeks 1-2),2026-04-18,High,"Add limitation of liability. Key line: Access Compass provides guided self-assessment tools not professional accessibility advice."
Professional indemnity insurance - get quote and purchase,Must Do Now (Weeks 1-2),2026-04-18,High,"Legal protection before first paying customer. Non-negotiable."
Package the council program offer (one-pager),Must Do Now (Weeks 1-2),2026-04-22,High,"One clear sellable thing: Access Compass Council Program. Light / Guided / Full delivery options. See growth bible for details."
Create Business Getting Started Guide (PDF),Must Do Now (Weeks 1-2),2026-04-25,High,"2-4 page PDF for businesses enrolled in council programs. See prompt-onboarding-assets.md for full spec."
Create Council Outreach Email Templates (6 templates),Must Do Now (Weeks 1-2),2026-04-25,High,"Invitation / Reminder / Halfway / Completion / Re-assessment / Wrap-up. See prompt-onboarding-assets.md."
Create One-Page Program Overview (PDF),Must Do Now (Weeks 1-2),2026-04-25,Medium,"For council internal stakeholders. What / Why / How / Included / Cost / Timeline. See prompt-onboarding-assets.md."
Update pricing page - add Program Support grouping + facilitation CTA,Must Do Now (Weeks 1-2),2026-04-25,Medium,"Reframe Authority tiers from software to program. Add one line below tiers: Need hands-on support? Talk to us."
Prepare CoM proposal (program-framed),Must Do Now (Weeks 1-2),2026-04-25,High,"Position as structured accessibility program not a tool. Guided Program at founding partner rate. See growth bible for pricing."
Set up case study capture template,Must Do Now (Weeks 1-2),2026-04-22,Medium,"Template for documenting: what we did / what happened / what they said. Start capturing from day 1 of any pilot."
Personal outreach to 10-15 warm contacts,Must Do Now (Weeks 1-2),2026-04-25,High,"Email and LinkedIn. Mix of businesses and council contacts. You do this yourself first before hiring VA."
Call with Josie - present CoM proposal,First Revenue (Weeks 3-6),2026-05-08,High,"Present the program. Ask: Would CoM want to pilot this with the current DAE cohort?"
Scope and close CoM pilot deal,First Revenue (Weeks 3-6),2026-05-22,High,"Agree pricing (founders rate 30-40% off). Send contract. Target: $13K-$23K deal."
Announce paid tiers to existing free users,First Revenue (Weeks 3-6),2026-05-08,Medium,"Email to current users about Starter and Committed tiers."
LinkedIn post - Access Compass is live,First Revenue (Weeks 3-6),2026-05-08,Medium,"What it does / who it helps / link to free tier."
Deliver kickoff webinar to first program businesses,First Revenue (Weeks 3-6),2026-05-29,High,"Use the slide deck created in onboarding assets. Record for reuse."
Create Kickoff Webinar Slide Deck,First Revenue (Weeks 3-6),2026-05-15,Medium,"15-20 slides. See prompt-onboarding-assets.md for full spec."
Create Council Admin Quick Start Guide (PDF),First Revenue (Weeks 3-6),2026-05-15,Medium,"2 pages. How to use Authority Portal. See prompt-onboarding-assets.md."
Target 5-10 individual paying customers,First Revenue (Weeks 3-6),2026-05-29,Medium,"Warm network only: personal contacts / training alumni / program participants. Free tier as entry point."
Begin documenting CoM case study,First Revenue (Weeks 3-6),2026-05-29,High,"Completion rates / business feedback / council outcomes. Capture from day 1."
Write VA job brief,Next Once Revenue Starts (Months 2-4),2026-06-15,Medium,"10-15 hrs/week. AU-based. $25-$35/hr. Prospect list building / outreach / follow-ups / CRM."
Hire VA,Next Once Revenue Starts (Months 2-4),2026-06-30,Medium,"Only after you have done 15-20 outreach emails yourself and know what works."
Schedule first monthly webinar,Next Once Revenue Starts (Months 2-4),2026-07-15,Medium,"Accessibility in Practice series. Only after first deal closes and you have a story to tell."
Start broader council outreach (5-10 new councils),Next Once Revenue Starts (Months 2-4),2026-07-15,Medium,"Use CoM proof. VA builds prospect lists. Personalised outreach from templates."
First association conversation (pick 2),Next Once Revenue Starts (Months 2-4),2026-07-31,Medium,"Tourism body + one other. Co-branded program pitch. See sales playbook for templates."
LinkedIn content rhythm - 1 post per week,Next Once Revenue Starts (Months 2-4),2026-06-15,Low,"Accessibility insights / product updates / industry commentary."
Publish CoM case study (1-page PDF + landing page),Prove and Expand (Months 3-6),2026-09-30,High,"How CoM deployed accessibility assessment across X businesses. Results and outcomes."
Publish 1-2 business case studies,Prove and Expand (Months 3-6),2026-10-31,High,"One hospitality / one retail or events. Before/after story."
Close 2-3 additional council deals,Prove and Expand (Months 3-6),2026-10-31,High,"Using CoM case study as proof. Mix of warm network and VA-sourced leads."
Deliver 2-3 facilitation engagements,Prove and Expand (Months 3-6),2026-10-31,High,"$5K-$30K each. Refine packages based on what works."
Reach 50+ businesses on platform,Prove and Expand (Months 3-6),2026-10-31,Medium,"Combination of council programs and individual subscribers."
Scale council pipeline to 10-15 conversations,Scale (Months 7-12),2027-01-31,High,"VA builds prospect lists. Personalised outreach. Target: close 3-5."
Close 2-3 association partnerships,Scale (Months 7-12),2027-04-30,Medium,"Member discount / co-branded page / joint webinar model."
Refine facilitation packages from delivery experience,Scale (Months 7-12),2027-01-31,Medium,"Light / Guided / Full. Standardise what works. Reduce your hours per council."
Submit speaking abstracts for 2027 conferences,Scale (Months 7-12),2027-01-31,Low,"ALGA / state LGA conferences / tourism / disability sector. Innovation streams."
Pitch for podcast appearances,Scale (Months 7-12),2027-02-28,Low,"AU business / disability / local government / tourism podcasts. VA researches and pitches."
Apply for grants and awards,Scale (Months 7-12),2027-03-31,Low,"Social enterprise grants / innovation awards / disability sector awards."
Start insurance conversations (QBE / Suncorp / Allianz),Scale (Months 7-12),2027-01-31,Medium,"Head of ESG or Partnerships via LinkedIn. Need 50+ businesses on platform first."
Research state-level partnership opportunities,Accelerate (Months 13-18),2027-07-31,Medium,"Visit Victoria / DJSIR / State disability services. Need 5+ council case studies first."
Scope and build Accessibility Guide Generator,Accelerate (Months 13-18),2027-07-31,Medium,"Auto-generate public accessibility guide from assessment data. $99/yr. Zero marginal cost."
Prepare investment materials,Accelerate (Months 13-18),2027-07-31,Medium,"Pitch deck / financials / growth metrics. For Creel Price / Startmate / Blackbird / impact investors."
Approach state government with regional pilot proposal,Accelerate (Months 13-18),2027-10-31,High,"5 councils in one region / 6 months / state-funded. Use council case studies as proof."
Hire customer success manager (first full-time hire),Million Dollar Run (Months 19-24),2028-01-31,High,"Handles council onboarding and business support. Frees you for sales and strategy."
Hire sales/BD person (second hire),Million Dollar Run (Months 19-24),2028-04-30,High,"Dedicated council pipeline. You shift to strategic partnerships and product."
Launch Verified Badge (Tier 3),Million Dollar Run (Months 19-24),2028-04-30,Medium,"Partner with 5-10 accessibility consultants. They verify for $500-$2K. You take 25% platform fee."
Launch insurance co-branded offering,Million Dollar Run (Months 19-24),2028-04-30,Medium,"Access Compass Assessed businesses save X% on public liability."
Scope international licensing (UK / US / EU),Million Dollar Run (Months 19-24),2028-04-30,Low,"Research Equality Act / ADA / EAA markets. Identify licensing partners. One conference trip."
Build industry-specific packaging,Million Dollar Run (Months 19-24),2028-04-30,Medium,"Hospitality / Events / Healthcare editions. Same platform / tailored branding / premium pricing."
